1342692018204585986 2020-12-26 12:41:37 +0800 <GrootKo> Frankrijk: Migrantenbende terroriseert gezinnen en berooft ze  https://t.co/8hiamhbSC3 via @DissidentNL
1342691805700239363 2020-12-26 12:40:47 +0800 <GrootKo> Vicki Van Lommel – Het enige juiste is dat de gevestigde orde de politieke arena verlaat  https://t.co/MxYGgtQ5EI via @TPOnl
1342550107892420609 2020-12-26 03:17:43 +0800 <GrootKo> Rome verandert in een hel voor vrouwen door immigratie  https://t.co/WffXLqfjC8 via @DissidentNL
1342483554882748421 2020-12-25 22:53:16 +0800 <GrootKo> NS’ers sturen kerstcadeau terug: ‘Totale belediging’  https://t.co/LhXjuJ1f4e
1342447281774211073 2020-12-25 20:29:08 +0800 <GrootKo> Duitsland nu bijna € 2,2 biljoen in de min: openbare schulden exploderen  https://t.co/XnTfTmzxYk via @EJBron2
1342445486972817414 2020-12-25 20:22:00 +0800 <GrootKo> @GerhardVerwox Die hele Bilderberg familie kan mij gestolen worden.
1342442509264433153 2020-12-25 20:10:10 +0800 <GrootKo> Wij in lockdown en de illegalen blijven binnenstromen, via de vrachtwagen zo in Nederland  https://t.co/OE94PRzjXL via @JDreport
1342415021402423297 2020-12-25 18:20:56 +0800 <GrootKo> Man in nek geschoten in Amsterdam: zwaargewond naar ziekenhuis  https://t.co/GMopMN3FIA via @Telegraaf
1342403959722487809 2020-12-25 17:36:59 +0800 <GrootKo> Gewetenloze Rutte "moet nog even nadenken" of toeslagenaffaire smet op carrière is  https://t.co/jk0ByXwy3f via @JDreport
1342400227316277250 2020-12-25 17:22:09 +0800 <GrootKo> Schijnoplossing: Koolmees tilt pensioenkorting over verkiezingen heen  https://t.co/wpirZLoAUv #Economie # RutteDrie
1342387464527294465 2020-12-25 16:31:26 +0800 <GrootKo> Duitse politie: bij migranten zeven kleuren bagger schijten – en tegen straatmuzikant krachtig optreden  https://t.co/iFFVzN5EOX via @Frontnieuws
1342380479253766146 2020-12-25 16:03:41 +0800 <GrootKo> Asielpyromanen steken hun kamp in Bihać, Bosnië-Herzegovina, in de fik om toegang tot de EU af te dwingen  https://t.co/5ZhTvpXPpq via @EJBron2
1342277513960161280 2020-12-25 09:14:32 +0800 <GrootKo> Groep mishandelt en berooft Rotterdammer (18) - #rijnmond  https://t.co/de3d07A5xz
1342243575359221766 2020-12-25 06:59:40 +0800 <GrootKo> ‘Lodewijk Asscher wist wél van noodkreten Belastingdienst over toeslagenaffaire’  https://t.co/4MalJHhdsa via @TPOnl
1342226681487044609 2020-12-25 05:52:32 +0800 <GrootKo> Dit zijn de meest voorkomende bijwerkingen van Pfizer-BioNTech vaccin  https://t.co/bR93JuU7JA via @telegraaf
1342218526443102208 2020-12-25 05:20:08 +0800 <GrootKo> Deens rapport: immigranten uit de derde wereld integreren nooit  https://t.co/gMLiwbF07L via @DissidentNL
1342139750061371397 2020-12-25 00:07:06 +0800 <GrootKo> Ultra-faalhaas Hugo de Jonge gaat na 19 januari lekker verder falen: ‘Ook dan nog coronamaatregelen!’  https://t.co/cWJMlfoaTM
1342122752053010432 2020-12-24 22:59:34 +0800 <GrootKo> Burgemeester: "Verplicht vaccineren!"  https://t.co/9lJ26yUCrG
1342122126283833347 2020-12-24 22:57:04 +0800 <GrootKo> @VOudenbarnevelt @TPOnl En zo'n geradicaliseerde moslima komt volgend jaar gewoon in de tweede kamer. Stem PVV!
1342120928038281217 2020-12-24 22:52:19 +0800 <GrootKo> Utrechter (21) opgepakt na dodelijke ravage op A2  https://t.co/KvIaft2f73 via @telegraaf
1342116810204864512 2020-12-24 22:35:57 +0800 <GrootKo> Linkse Britse steun voor omstreden GroenLinks-kandidate Kauthar Bouchallikht via door Qatar betaald Al Jazeera  https://t.co/6L8l0tI7p8 via @TPOnl
1342116407044141066 2020-12-24 22:34:21 +0800 <GrootKo> Coronafeest in België: Afrikanen lopen twee politievrouwen simpelweg omver  https://t.co/hPNajcOVMC via @Frontnieuws
1342116219801972738 2020-12-24 22:33:36 +0800 <GrootKo> Laatste nagel aan doodskist van toeslagenaffaire-pias Lodewijk Asscher: ‘Hij wist wél van noodkreten af!’  https://t.co/0sGwNPTEFS
1342087472088555524 2020-12-24 20:39:22 +0800 <GrootKo> Nieuwsuur: "Headshot voor VuurwerkHoolies"  https://t.co/a0ccFR6gEl
1342050634930003969 2020-12-24 18:13:00 +0800 <GrootKo> @geertwilderspvv Fijne kerstdagen en een gezond 2021.
1342027814699229184 2020-12-24 16:42:19 +0800 <GrootKo> 86-jarige vrouw in haar woning overvallen  https://t.co/H4R4CrwGms
1342027541436116992 2020-12-24 16:41:14 +0800 <GrootKo> DE IDIOOT!  https://t.co/p0wEsETo8K via @EJBron2
1342022814161924096 2020-12-24 16:22:27 +0800 <GrootKo> @sjonnie100 Goedemorgen Sjon ☕️☕️☕️
1342021108917219328 2020-12-24 16:15:40 +0800 <GrootKo> Ouderen worden al weken niet gedoucht in Eindhovens verpleeghuis, GGD: ‘Dit zouden we nooit adviseren’  https://t.co/Wfcx3Qlqi5
1342020708705165312 2020-12-24 16:14:05 +0800 <GrootKo> Rutte en De Jonge 'hielden crisis in stand voor politiek gewin'  https://t.co/aezUfsLWC8
1342020319612203008 2020-12-24 16:12:32 +0800 <GrootKo> Klimaatakkoord op je bord: Extra heffing op vlees steeds dichterbij  https://t.co/1cpl3y8Fi0 via @JDreport
